,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
221,352,Бөмбөгөрийн автобусны буудал Хүнсний Түц-1,0,3,23,,11899649.115355385,6093929.066774175,"11899649.115355385,6093929.066774175","(47.922245956305844, 106.89636675983084)"
222,389,,,7,104,,11903043.369147642,6094075.684049228,"11903043.369147642,6094075.684049228","(47.923128578384656, 106.92685786042848)"
223,395,5а байрны урд,94319940,3,19,,11897575.412429256,6094468.416119308,"11897575.412429256,6094468.416119308","(47.925492713972936, 106.87773836949819)"
224,246,,,7,113,,11903495.000016417,6101842.014207671,"11903495.000016417,6101842.014207671","(47.969859623884574, 106.9309149295505)"
225,143,,0,4,34,,11905894.694483723,6093507.344503837,"11905894.694483723,6093507.344503837","(47.919707144313506, 106.95247175172248)"
226,214,120 автобусны буудал,0,8,132,,11901203.175931336,6090518.537253868,"11901203.175931336,6090518.537253868","(47.90171064275002, 106.91032712350909)"
227,237,Их тойруу,0,7,105,,11902361.003771013,6095087.221832421,"11902361.003771013,6095087.221832421","(47.92921752947188, 106.9207280679567)"
228,306,,,3,21,,11897669.029670915,6094383.888649904,"11897669.029670915,6094383.888649904","(47.924983891724764, 106.87857934748858)"
229,383,,,7,104,,11903214.024108468,6095183.198071502,"11903214.024108468,6095183.198071502","(47.929795221154194, 106.9283908800247)"
230,329,,,7,102,,11899496.283017933,6092256.632232434,"11899496.283017933,6092256.632232434","(47.912176993473125, 106.89499384358443)"
231,260,,,7,107,,11903076.855397359,6095513.700246574,"11903076.855397359,6095513.700246574","(47.931784501219035, 106.92715867252778)"
232,220,67-р байрны хажууд,0,8,132,,11899914.168771837,6088701.36623187,"11899914.168771837,6088701.36623187","(47.8907658537555, 106.8987477751819)"
233,801,Хүнс ногооны мухлаг,95131938,7,100,СБД-ийн 3-р хороо 45-р байрны зүүн талд,11899996.904181574,6092273.075462061,"11899996.904181574,6092273.075462061","(47.91227600017019, 106.89949100001294)"
234,114,,,4,53,,11915290.52390032,6092403.1876893565,"11915290.52390032,6092403.1876893565","(47.913059415127506, 107.03687592344157)"
235,20,36-р байрны ард талд,0,7,101,,11900231.697301477,6092850.463776789,"11900231.697301477,6092850.463776789","(47.915752405739994, 106.90160018249512)"
236,266,,,8,119,,11900228.060419166,6090563.252582458,"11900228.060419166,6090563.252582458","(47.901979933220176, 106.90156751182545)"
237,80,,,3,11,,11897740.546866313,6092366.760686599,"11897740.546866313,6092366.760686599","(47.91284008675335, 106.87922179738563)"
238,277,,,8,119,,11899950.276015261,6090038.531622113,"11899950.276015261,6090038.531622113","(47.898819802145795, 106.89907213206826)"
239,28,амарын гудамж,0,7,105,,11902550.378602754,6093891.321043173,"11902550.378602754,6093891.321043173","(47.922018728150526, 106.9224292510145)"
240,131,6.45,96680345,3,21,,11897374.02318086,6094290.226824091,"11897374.02318086,6094290.226824091","(47.924420078383946, 106.87592925909927)"
