,OBJECTID,GlobalID,Camer_name,Camer_zoriulalt,Camer_uzuulelt,burtgel,Gemteltei_eseh,x,y,xy,lat_lon
100,10141,{EEB9DF9F-FCE6-4DDA-B877-701DF423EBCA},11,2,2,1,2,11897632.2630478,6092656.387727195,"11897632.2630478,6092656.387727195","(47.91458391653314, 106.8782490672937)"
101,675,{B11F5FBA-2F91-40F5-B3CF-0F5AF21DC68F},1,1,2,1,2,11903645.783835903,6097163.57474773,"11903645.783835903,6097163.57474773","(47.94171388887125, 106.93226944364693)"
102,11,{562ED3EE-BC6C-49B0-A914-412DCA508621},11,2,2,1,2,11900084.487858681,6093823.1491179075,"11900084.487858681,6093823.1491179075","(47.921608332699726, 106.9002777775708)"
103,652,{BBCFB0BD-3301-4E44-9F2B-DD8F146FCC81},7,1,3,1,2,11903375.834168004,6094522.694229287,"11903375.834168004,6094522.694229287","(47.925819444289985, 106.92984444452077)"
104,552,{EF721C2F-0102-4AF0-B326-60D4419E2B25},10,1,2,1,2,11903643.619333353,6094486.700514378,"11903643.619333353,6094486.700514378","(47.92560277820902, 106.93224999958969)"
105,54,{9DA39C35-58C3-4F80-B7D3-E60241F527AF},11,2,2,1,2,11901248.704235911,6091393.641743916,"11901248.704235911,6091393.641743916","(47.906980556322765, 106.91073611122768)"
106,681,{55ECE6AF-0800-4F11-AB2F-B64F70038B47},1,1,2,1,2,11903687.21956055,6098513.404869228,"11903687.21956055,6098513.404869228","(47.949836110693006, 106.93264166709452)"
107,389,{2E1298AB-F354-4D46-B8AD-7BDCFAC53EDB},1,1,2,1,2,11904639.928781211,6091011.700278846,"11904639.928781211,6091011.700278846","(47.90468055581723, 106.94119999963692)"
108,6887,{2A9196D8-B663-4912-9D21-52995CFFA614},8,1,2,1,2,11901680.955520388,6094520.67145518,"11901680.955520388,6094520.67145518","(47.925807268117765, 106.91461909058194)"
109,8510,{E6882220-8B46-481C-AB71-A1D46024163A},8,1,2,1,2,11899834.227399554,6094674.801146806,"11899834.227399554,6094674.801146806","(47.926735049946984, 106.89802964961635)"
110,452,{DDEB989D-027E-4D9E-A1AD-6C8BE69FBBE7},1,1,2,1,2,11906755.308341868,6092755.022528889,"11906755.308341868,6092755.022528889","(47.91517777827657, 106.96020277754745)"
111,9752,{DA928D52-0454-44E9-B2AF-742CD36C23B2},8,1,2,1,2,11902496.666772943,6103783.765700364,"11902496.666772943,6103783.765700364","(47.98153679976677, 106.92194674943792)"
112,283,{66C2D176-5418-41DB-BE95-46F8744CCB6E},2,1,1,1,2,11899026.64355899,6091800.972181889,"11899026.64355899,6091800.972181889","(47.90943333321493, 106.8907750005445)"
113,469,{EB61AAE0-76C8-4FFC-9301-6D5E5E442EE7},1,1,3,1,2,11904610.862124944,6094853.567472212,"11904610.862124944,6094853.567472212","(47.92781111085275, 106.94093888942109)"
114,575,{880B918C-1C04-4E8A-9C92-8B888217F391},7,1,2,1,2,11903049.296931392,6096262.113376818,"11903049.296931392,6096262.113376818","(47.93628888865393, 106.92691111061593)"
115,20,{1B5F202C-CA79-4118-AA1F-1491C9F5422A},11,2,1,1,2,11902995.801837128,6091557.401955979,"11902995.801837128,6091557.401955979","(47.907966667150426, 106.9264305560079)"
