,OBJECTID,District,Khoroo,Hayg,Tsetserleg_ner,Umchiin_helber,Zahiramjiin_dugaar,Tsetserlegiin_hew_shinj,Tsetserlegiin_angilal,Bulgiin_too,huuhdiin_too,Bagsh_ajiltanii_too,huchin_chadal,Tsetserlegiin_erhlegch,hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,created_user,created_date,last_edited_user,last_edited_date,Uil_ajilgaa_ehlesen_on,Barilgiin_ashiglaltand_orosn_on,Utasnii_dugaar,x,y,xy,lat_lon
114,861,6,10,100 айл,24-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851552000,Esri_Anonymous,1560851579000,,,,11902945.323521834,6095628.018248668,"11902945.323521834,6095628.018248668","(47.93247255912932, 106.92597710158645)"
115,1245,1,4,ЗДТГ-ын баруун талд,157-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560915709000,Esri_Anonymous,1560915742000,,,,11897450.918298973,6092042.853561099,"11897450.918298973,6092042.853561099","(47.910889788701915, 106.87662001969802)"
116,1219,3,23,Улиастайн шинэ эцэс,211-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902450000,Esri_Anonymous,1560902473000,,,,11915214.204300415,6093356.061151262,"11915214.204300415,6093356.061151262","(47.91879637240957, 107.03619033281085)"
117,1631,5,2,ХУД-ийн соёлын ордны зүүн урд,27-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561011480000,Esri_Anonymous,1561011514000,,,,11899999.047206733,6089891.541598723,"11899999.047206733,6089891.541598723","(47.89793452039734, 106.8995102511355)"
118,1239,7,6,50-р сургуулийн зүүн урд,74-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560903607000,Esri_Anonymous,1560903658000,,,,11900886.221599082,6094522.755360085,"11900886.221599082,6094522.755360085","(47.925819812269296, 106.90747987429877)"
119,2009,1,15,,86-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108429000,Esri_Anonymous,1561108442000,,,,11898536.447534055,6094431.416210336,"11898536.447534055,6094431.416210336","(47.92526998963334, 106.88637149473035)"
120,1617,7,2,Бөмбөгөр худалдааны төвийн зүүн талд,70-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560997848000,Esri_Anonymous,1560997889000,,,,11900287.804006794,6093624.065989908,"11900287.804006794,6093624.065989908","(47.9204098322869, 106.90210419760439)"
121,1225,3,16,16-р хороолол,40-р клиник сувилал,1,,3,2,,,,,,,,,Esri_Anonymous,1560902800000,Esri_Anonymous,1560902844000,,,,11908700.900969228,6093314.92548533,"11908700.900969228,6093314.92548533","(47.918548720387115, 106.97768033348572)"
122,2015,1,18,,87-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108729000,Esri_Anonymous,1561108742000,,,,11898457.82133987,6093235.769362283,"11898457.82133987,6093235.769362283","(47.91807216772368, 106.88566518361066)"
123,1623,7,9,9-р хорооноос баруун хойно,31-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560999189000,Esri_Anonymous,1560999250000,,,,11900309.358711556,6096189.326850999,"11900309.358711556,6096189.326850999","(47.935850834044864, 106.9022978268117)"
