,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
757,1751,,,3,18,,11898842.016408168,6094248.425246407,"11898842.016408168,6094248.425246407","(47.92416844467153, 106.88911646663001)"
758,314,,,9,150,,11898451.918817274,6103850.229868565,"11898451.918817274,6103850.229868565","(47.98193645081395, 106.88561216034803)"
759,1310,,,8,132,,11901964.84709752,6090410.450428661,"11901964.84709752,6090410.450428661","(47.90105970242149, 106.91716933200965)"
760,1396,,,8,132,,11900270.074902263,6089066.830832911,"11900270.074902263,6089066.830832911","(47.89296722645394, 106.90194493434863)"
761,1450,,,4,52,,11907709.547598202,6095667.884802215,"11907709.547598202,6095667.884802215","(47.932712506039664, 106.96877485463416)"
762,1456,,,9,141,,11899800.703866737,6095123.270927741,"11899800.703866737,6095123.270927741","(47.92943451375199, 106.89772850259729)"
763,2037,penny mini market,0,7,101,,11900400.256787192,6092662.9541364815,"11900400.256787192,6092662.9541364815","(47.91462345187044, 106.90311437811812)"
764,22,Нутгийн хишиг хүнсний дэлгүүр,0,7,110,,11901786.484091593,6099412.104821906,"11901786.484091593,6099412.104821906","(47.95524307628119, 106.91556706986619)"
765,1350,,,8,120,,11899022.399683362,6090527.4946144335,"11899022.399683362,6090527.4946144335","(47.901764587044546, 106.89073687716109)"
766,1356,,,8,120,,11898949.545726484,6089864.642318471,"11898949.545726484,6089864.642318471","(47.89777251156058, 106.89008241893136)"
767,2137,Наран хүнсний дэлгүүр,99073130,7,107,,11902382.846020443,6095348.999138524,"11902382.846020443,6095348.999138524","(47.930793181057226, 106.92092428022171)"
768,2143,Мини маркет,0,7,108,,11902241.915141825,6095952.135017712,"11902241.915141825,6095952.135017712","(47.93442330540437, 106.91965827659904)"
769,76,,,7,113,,11903818.186365332,6101361.249036035,"11903818.186365332,6101361.249036035","(47.9669680224157, 106.93381816191899)"
770,663,,,4,34,,11905173.61491683,6093943.423651098,"11905173.61491683,6093943.423651098","(47.92233238400728, 106.94599418376241)"
771,1502,,,9,140,,11898444.14072655,6096912.67369105,"11898444.14072655,6096912.67369105","(47.94020402190014, 106.88554228857025)"
772,1745,,,3,18,,11898463.712706644,6095934.220029957,"11898463.712706644,6095934.220029957","(47.934315483235906, 106.88571810665884)"
773,222,,,9,140,,11899242.564230517,6096096.6488429895,"11899242.564230517,6096096.6488429895","(47.93529306021157, 106.89271464893838)"
774,763,,,4,35,,11906827.456383009,6093823.841508085,"11906827.456383009,6093823.841508085","(47.92161250090964, 106.96085089442822)"
775,1304,Хангайн 3-116,99124396,7,109,,11902991.173624266,6096741.586132262,"11902991.173624266,6096741.586132262","(47.93917442958909, 106.92638898006437)"
776,1648,,,8,119,,11900155.439363463,6090566.310408969,"11900155.439363463,6090566.310408969","(47.9019983484097, 106.90091514578258)"
777,1845,,,4,39,,11911339.08798252,6096115.160888753,"11911339.08798252,6096115.160888753","(47.93540447369053, 107.0013795706498)"
778,2189,,,3,9,,11897738.102190493,6092744.168429297,"11897738.102190493,6092744.168429297","(47.91511242810122, 106.87919983648908)"
779,2386,Алоэ хүнсний дэлгүүр,99015554,3,13,,11897311.768092904,6092682.479018398,"11897311.768092904,6092682.479018398","(47.91474100799387, 106.87537001212904)"
780,1625,Тэнцвэр трейд хүнсний дэлгүүр,,9,145,,11900218.912910184,6097793.192520331,"11900218.912910184,6097793.192520331","(47.945502594956714, 106.90148533835414)"
781,2123,органик дэлгүүр,88806629,7,100,,11899990.857776988,6092194.180129037,"11899990.857776988,6092194.180129037","(47.911800959993016, 106.89943668423643)"
782,2289,,,4,55,,11903828.517207626,6092224.635607353,"11903828.517207626,6092224.635607353","(47.91198433733653, 106.93391096545429)"
783,59,,,3,23,,11899660.579265362,6093815.481249285,"11899660.579265362,6093815.481249285","(47.9215621718751, 106.89646974188632)"
784,225,,,9,140,,11898568.963031353,6096285.352725436,"11898568.963031353,6096285.352725436","(47.93642875034902, 106.8866635864123)"
785,274,,,9,147,,11901698.103887558,6099326.113204368,"11901698.103887558,6099326.113204368","(47.95472573818827, 106.9147731369852)"
786,557,,,9,149,,11898414.484073298,6101414.396709354,"11898414.484073298,6101414.396709354","(47.96728769140567, 106.88527587832134)"
787,772,,,4,35,,11907084.23709721,6098488.888828889,"11907084.23709721,6098488.888828889","(47.949688603718904, 106.96315759483055)"
788,1719,,,9,137,,11901734.81540491,6094050.465414269,"11901734.81540491,6094050.465414269","(47.922976765668345, 106.91510292215662)"
789,1768,,,4,45,,11904703.155833885,6093324.014958899,"11904703.155833885,6093324.014958899","(47.91860344250377, 106.9417679779148)"
790,82,,,7,113,,11903510.422763301,6102264.161418964,"11903510.422763301,6102264.161418964","(47.97239852934451, 106.93105347444298)"
791,251,,,9,145,,11900310.294049598,6098074.456916664,"11900310.294049598,6098074.456916664","(47.947195005302696, 106.9023062290963)"
792,1247,,,4,38,,11911187.68129932,6093774.874096547,"11911187.68129932,6093774.874096547","(47.92131771477584, 107.00001946127341)"
793,1911,,,3,10,,11898964.248360759,6092509.283964065,"11898964.248360759,6092509.283964065","(47.91369821955088, 106.89021449494223)"
794,2074,улаанбаатар ,99088720,7,105,,11902601.137498405,6093359.844847965,"11902601.137498405,6093359.844847965","(47.91881915161272, 106.92288522593219)"
795,1482,,,4,52,,11907205.272313561,6093478.680575185,"11907205.272313561,6093478.680575185","(47.91953457995548, 106.9642448726782)"
796,1556,,,4,32,,11904335.90785956,6095382.440319328,"11904335.90785956,6095382.440319328","(47.93099446185237, 106.93846893323082)"
797,2097,Эрхүү гудамж,0,7,104,,11903089.888441158,6094711.227699335,"11903089.888441158,6094711.227699335","(47.92695431671148, 106.92727575035221)"
798,2146,Рапид 2-6 тоот Очирваань баялаг 6 нэрийн дэлгүүр,88118760,8,132,,11902021.290974127,6090381.189384087,"11902021.290974127,6090381.189384087","(47.90088347977734, 106.91767637598016)"
799,2429,6а байрны 1-р орцны хажууд,96557171,3,19,,11898015.331948277,6094482.176588819,"11898015.331948277,6094482.176588819","(47.92557554613435, 106.88169023377537)"
800,2478,наран хотхон fresh market дэлгүүр ,99902711,8,118,,11900971.177971475,6091112.0930160545,"11900971.177971475,6091112.0930160545","(47.90528511737751, 106.9082430503768)"
801,33,,,7,110,,11901629.355268946,6098187.918064089,"11901629.355268946,6098187.918064089","(47.9478777024742, 106.91415555763659)"
802,39,,,3,18,,11897532.285733905,6095294.060011016,"11897532.285733905,6095294.060011016","(47.93046250349505, 106.87735095580231)"
803,1290,,,9,136,,11900466.790826483,6092915.554662115,"11900466.790826483,6092915.554662115","(47.91614429773446, 106.90371206356221)"
804,1533,,,9,150,,11898243.627871037,6104126.716872158,"11898243.627871037,6104126.716872158","(47.9835989422956, 106.88374105094255)"
805,1788,,,9,139,,11900566.664043453,6094542.827328492,"11900566.664043453,6094542.827328492","(47.92594063615549, 106.90460923993498)"
806,1954,туул булаг ,,4,50,,11929128.96468192,6094975.771450049,"11929128.96468192,6094975.771450049","(47.928546689098646, 107.16118875206651)"
807,1960,Туулын 11-1,,4,50,,11929758.241432233,6094587.315989882,"11929758.241432233,6094587.315989882","(47.92620843613691, 107.16684164129398)"
808,2197,,,3,9,,11897929.52135389,6092992.588782451,"11897929.52135389,6092992.588782451","(47.91660809240065, 106.88091938409062)"
809,182,Соёмбо зах,0,7,113,,11904320.177553758,6103550.453326441,"11904320.177553758,6103550.453326441","(47.980133860934664, 106.93832762548955)"
810,649,,,4,34,,11905198.262866925,6093361.835486171,"11905198.262866925,6093361.835486171","(47.918831135960424, 106.94621560006534)"
811,1313,,,4,34,,11905850.500603395,6097087.593109257,"11905850.500603395,6097087.593109257","(47.94125665286002, 106.95207475134085)"
812,88,,,7,113,,11904320.17747043,6103675.857789293,"11904320.17747043,6103675.857789293","(47.98088793965482, 106.938327624741)"
813,159,,,7,114,,11903264.391164215,6103200.515129262,"11903264.391164215,6103200.515129262","(47.97802956379035, 106.92884333498463)"
814,580,,,9,152,,11903071.581616178,6104301.686098955,"11903071.581616178,6104301.686098955","(47.98465098885463, 106.92711129734538)"
815,749,,,4,35,,11907300.410442084,6097785.429311266,"11907300.410442084,6097785.429311266","(47.94545588176959, 106.96509951302775)"
816,1241,,,4,38,,11910795.533431288,6093108.438694236,"11910795.533431288,6093108.438694236","(47.91730557512594, 106.99649673703854)"
817,1905,,,9,152,,11901858.86046026,6104329.155553232,"11901858.86046026,6104329.155553232","(47.984816153921926, 106.91621723784802)"
818,1439,,,4,52,,11907807.213842621,6093213.539596967,"11907807.213842621,6093213.539596967","(47.917938334534924, 106.96965220543521)"
819,1931,Мишээл мини маркет,99196787,9,135,,11899910.233818687,6092886.293582344,"11899910.233818687,6092886.293582344","(47.91596812623289, 106.89871242689635)"
820,2054,84-р байр,0,8,119,,11898111.928298883,6089180.963825424,"11898111.928298883,6089180.963825424","(47.89365468632021, 106.88255797355679)"
821,2103,34-р байр,0,7,103,,11902237.268481951,6094296.795616415,"11902237.268481951,6094296.795616415","(47.924459620550486, 106.9196165349432)"
822,1619,Гайхмаараа хүнсний дэлгүүр,,9,145,,11900278.928041948,6097815.884796612,"11900278.928041948,6097815.884796612","(47.94563913986492, 106.90202446345556)"
823,1868,,,4,39,,11912566.302449312,6096037.529438875,"11912566.302449312,6096037.529438875","(47.93493725252129, 107.0124038257739)"
824,2117,Шинэ танил хүнсний дэлгүүр,315068,7,100,,11900010.564230448,6092069.372864184,"11900010.564230448,6092069.372864184","(47.911049468548015, 106.8996137103198)"
825,2366,,,7,109,,11902417.222860893,6096506.110622522,"11902417.222860893,6096506.110622522","(47.937757321805854, 106.92123309263367)"
